http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6010838A&q=1&yr=2010,"Department of Finance Canada","Andrew Kalotay",6010838A,2008-01-25,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2008-01-25 to 2011-03-31",,379937.25,"This contract includes one or more amendments. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000146&q=1&yr=2010,"Department of Finance Canada","THE HALIFAX GROUP",4000146,2010-04-19,"813 TEMPORARY HELP SERVICES","2010-04-19 to 2010-07-30",,59850.00,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6007400025&q=1&yr=2010,"Department of Finance Canada",Harris/Decima,6007400025,2010-04-30,"341 COMMUNICATIONS RESEARCH SERVICES","2010-04-30 to 2010-06-30",,35001.75,"This contract was awarded by Public Works and Government Services Canada. This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000148&q=1&yr=2010,"Department of Finance Canada","ACTION PERSONNEL",4000148,2010-05-05,"813 TEMPORARY HELP SERVICES","2010-05-05 to 2010-09-30",,33458.91,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6007490402&q=1&yr=2010,"Department of Finance Canada","RGE MONITOR",6007490402,2010-05-06,"812 COMPUTER SERVICES","2010-05-06 to 2011-05-05",,28000.00,"This contract was awarded by Public Works and Government Services Canada."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014247&q=1&yr=2010,"Department of Finance Canada","PROFESSOR KLAUS SCHMIDT-HEBBEL",6014247,2010-05-07,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2010-05-07 to 2010-05-09",,11250.00,"This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014251&q=1&yr=2010,"Department of Finance Canada","WHITE, WILLIAM",6014251,2010-05-07,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2010-05-07 to 2010-05-09",,12203.23,"This contract was sole-sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014285&q=1&yr=2010,"Department of Finance Canada","Deloitte and Touche,",6014285,2010-05-10,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2010-05-10 to 2010-06-11",,24800.00,"This contract was sole-sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000151&q=1&yr=2010,"Department of Finance Canada","The Aim Group",4000151,2010-05-10,"813 TEMPORARY HELP SERVICES","2010-05-10 to 2010-07-30",,15415.31,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000152&q=1&yr=2010,"Department of Finance Canada","Alliance Personnel Inc. (API)",4000152,2010-05-10,"813 TEMPORARY HELP SERVICES","2010-05-10 to 2010-07-30",,14616.00,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000153&q=1&yr=2010,"Department of Finance Canada","ARTEMP PERSONNEL SERVICES INC.",4000153,2010-05-10,"813 TEMPORARY HELP SERVICES","2010-05-10 to 2010-07-30",,15986.26,"This contract includes one or more amendments. This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000154&q=1&yr=2010,"Department of Finance Canada","Barbara Personnel Inc.",4000154,2010-05-18,"813 TEMPORARY HELP SERVICES","2010-05-18 to 2010-09-03",,14765.63,"This contract includes one or more amendments. This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000155&q=1&yr=2010,"Department of Finance Canada","C.L.A. Personnel",4000155,2010-05-18,"813 TEMPORARY HELP SERVICES","2010-05-18 to 2010-09-03",,10432.80,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014310&q=1&yr=2010,"Department of Finance Canada","Anne Marie Todkill",6014310,2010-05-19,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2010-05-19 to 2010-12-31",,22758.75,"This contract was sole-sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014313&q=1&yr=2010,"Department of Finance Canada","DataAngel Policy Research Inc.",6014313,2010-05-20,"492 RESEARCH SERVICES","2010-05-20 to 2010-09-30",,23009.70,"This contract was sole-sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=8025242&q=1&yr=2010,"Department of Finance Canada","Trecarten, Llewellyn A",8025242,2010-05-25,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2010-05-25 to 2010-10-29",,20790.00,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000164&q=1&yr=2010,"Department of Finance Canada","APS-Antian Professional Services",4000164,2010-05-31,"813 TEMPORARY HELP SERVICES","2010-05-31 to 2010-07-30",,10914.75,"This contract includes one or more amendments. This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014338&q=1&yr=2010,"Department of Finance Canada","Don Wright",6014338,2010-05-31,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2010-05-31 to 2010-12-31",,18750.00,"This contract was sole-sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=8025282&q=1&yr=2010,"Department of Finance Canada","Everest Organizational Consultants",8025282,2010-06-01,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2010-06-01 to 2010-11-30",,22374.00,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014343&q=1&yr=2010,"Department of Finance Canada","&Eacute;cole de Langues de l&#39;Estrie",6014343,2010-06-07,"447 TUITION FEES AND COSTS OF ATTENDING COURSES","2010-06-07 to 2010-08-19",,24804.00,"This contract was sole-sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014350&q=1&yr=2010,"Department of Finance Canada","DELOITTE INC.",6014350,2010-06-10,"492 RESEARCH SERVICES","2010-06-10 to 2010-07-16",,244000.00,"This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000167&q=1&yr=2010,"Department of Finance Canada","SAMSON &amp; ASSOCI&Eacute;S",4000167,2010-06-15,"401 ACCOUNTING AND AUDIT SERVICES","2010-06-15 to 2010-12-31",,80041.88,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014356&q=1&yr=2010,"Department of Finance Canada","TRI-CO PRINTING INC.",6014356,2010-06-18,"311 PUBLISHING SERVICES","2010-06-18 to 2010-06-21",,21945.00,"This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014375&q=1&yr=2010,"Department of Finance Canada","Andrew Oland",6014375,2010-06-21,"491 MANAGEMENT CONSULTING","2010-06-21 to 2012-06-20",,20001.00,"This contract was sole-sourced. This contract is a multi-year contract. Reimbursement of travel expenses only to a maximum of $20,000.00"
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014372&q=1&yr=2010,"Department of Finance Canada","Duncan N. R. Jackman",6014372,2010-06-21,"491 MANAGEMENT CONSULTING","2010-06-21 to 2012-06-20",,20001.00,"This contract was sole-sourced. This contract is a multi-year contract. Reimbursement of travel expenses only to a maximum of $20,000.00"
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014376&q=1&yr=2010,"Department of Finance Canada","Edward Rogers",6014376,2010-06-21,"491 MANAGEMENT CONSULTING","2010-06-21 to 2012-06-20",,20001.00,"This contract was sole-sourced. This contract is a multi-year contract. Reimbursement of travel expenses only to a maximum of $20,000.00"
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014364&q=1&yr=2010,"Department of Finance Canada","George F. J. Gosbee",6014364,2010-06-21,"491 MANAGEMENT CONSULTING","2010-06-21 to 2011-06-20",,10001.00,"This contract was sole-sourced. Reimbursement of travel expenses only to a maximum of $10,000.00"
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014363&q=1&yr=2010,"Department of Finance Canada","MONSIEUR PAUL DESMARAIS JR.",6014363,2010-06-21,"491 MANAGEMENT CONSULTING","2010-06-21 to 2011-06-20",,10001.00,"This contract was sole-sourced. Reimbursement of travel expenses only to a maximum of $10,000.00"
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014366&q=1&yr=2010,"Department of Finance Canada","MR. JACK MINTZ",6014366,2010-06-21,"491 MANAGEMENT CONSULTING","2010-06-21 to 2011-06-20",,10001.00,"This contract was sole-sourced. Reimbursement of travel expenses only to a maximum of $10,000.00"
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014365&q=1&yr=2010,"Department of Finance Canada","MacKinnon, Mrs. Janice",6014365,2010-06-21,"491 MANAGEMENT CONSULTING","2010-06-21 to 2012-06-20",,20001.00,"This contract was sole-sourced. This contract is a multi-year contract. Reimbursement of travel expenses only to a maximum of $20,000.00"
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014373&q=1&yr=2010,"Department of Finance Canada","Monique J&eacute;r&ocirc;me Forget",6014373,2010-06-21,"491 MANAGEMENT CONSULTING","2010-06-21 to 2012-06-20",,20001.00,"This contract was sole-sourced. This contract is a multi-year contract. Reimbursement of travel expenses only to a maximum of $20,000.00"
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014367&q=1&yr=2010,"Department of Finance Canada","Mr. James A. Pattison",6014367,2010-06-21,"491 MANAGEMENT CONSULTING","2010-06-21 to 2011-06-20",,10001.00,"This contract was sole-sourced. Reimbursement of travel expenses only to a maximum of $10,000.00"
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014371&q=1&yr=2010,"Department of Finance Canada","Peter M. Brown",6014371,2010-06-21,"491 MANAGEMENT CONSULTING","2010-06-21 to 2012-06-20",,20001.00,"This contract was sole-sourced. This contract is a multi-year contract. Reimbursement of travel expenses only to a maximum of $20,000.00"
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014383&q=1&yr=2010,"Department of Finance Canada","Robert Wildeboer",6014383,2010-06-21,"491 MANAGEMENT CONSULTING","2010-06-21 to 2012-06-20",,20001.00,"This contract was sole-sourced. This contract is a multi-year contract. Reimbursement of travel expenses only to a maximum of $20,000.00"
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000169&q=1&yr=2010,"Department of Finance Canada","DELOITTE &amp; TOUCHE LLP",4000169,2010-06-21,"472 INFORMATION TECHNOLOGY CONSULTANTS","2010-06-21 to 2010-09-30",,16380.00,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000170&q=1&yr=2010,"Department of Finance Canada","Cistel Technology Inc.",4000170,2010-06-22,"472 INFORMATION TECHNOLOGY CONSULTANTS","2010-06-22 to 2010-09-30",,20475.00,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000174&q=1&yr=2010,"Department of Finance Canada","HARRINGTON STAFFING SERVICES",4000174,2010-06-30,"472 INFORMATION TECHNOLOGY CONSULTANTS","2010-06-30 to 2011-03-31",,27300.00,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6007470339&q=4&yr=2009,"Department of Finance Canada","THE CANADIAN PRESS",6007470339,2008-04-01,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2008-04-01 to 2011-03-31",,133900.20,"This contract was awarded by Public Works and Government Services Canada. This contract was sole-sourced. This contract is a multi-year contract. This contract includes one or more amendments."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6007470357&q=4&yr=2009,"Department of Finance Canada","PARAMETRIC TECHNOLOGY CORPORATION",6007470357,2008-04-01,"812 COMPUTER SERVICES","2008-04-01 to 2011-03-31",,29727.61,"This contract was awarded by Public Works and Government Services Canada. This contract was sole-sourced. This contract is a multi-year contract. This contract includes one or more amendments."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6007480040&q=4&yr=2009,"Department of Finance Canada",GMARKETS,6007480040,2008-08-31,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2008-08-31 to 2010-08-31",,58506.00,"This contract was awarded by Public Works and Government Services Canada. This contract was sole-sourced. This contract is a multi-year contract. This contract includes one or more amendments."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6007480290&q=4&yr=2009,"Department of Finance Canada","PRIVASOFT CORP.",6007480290,2009-01-09,"812 COMPUTER SERVICES","2009-01-09 to 2011-03-27",,96035.81,"This contract was awarded by Public Works and Government Services Canada. This contract was competitively sourced. This contract is a multi-year contract. This contract includes one or more amendments."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6007480361&q=4&yr=2009,"Department of Finance Canada","MACROECONOMIC ADVISERS, LLC",6007480361,2009-04-01,"812 COMPUTER SERVICES","2009-04-01 to 2011-03-31",,43348.30,"This contract was awarded by Public Works and Government Services Canada. This contract was sole-sourced. This contract is a multi-year contract. This contract includes one or more amendments."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6007480342&q=4&yr=2009,"Department of Finance Canada","COMPUPHILE SYSTEMS INC.",6007480342,2009-04-01,"1228 COMPUTER SOFTWARE",,2009-04-01,220674.17,"This contract was awarded by Public Works and Government Services Canada. This contract was sole-sourced. This contract is a multi-year contract. This contract includes one or more amendments."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6007490000&q=4&yr=2009,"Department of Finance Canada","OGILVY MONTREAL INC.",6007490000,2009-04-28,"341 COMMUNICATIONS RESEARCH SERVICES","2009-04-28 to 2009-12-31",,100841.90,"This contract was awarded by Public Works and Government Services Canada. This contract was sole-sourced. This contract is a multi-year contract. This contract includes one or more amendments."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6007490001&q=4&yr=2009,"Department of Finance Canada","OGILVY MONTREAL INC.",6007490001,2009-05-27,"301 ADVERTISING SERVICES","2009-05-27 to 2011-03-31",,2541000.00,"TThis contract was awarded by Public Works and Government Services Canada. This contract was competitively sourced. This contract is a multi-year contract. This contract includes one or more amendments"
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6007490010&q=4&yr=2009,"Department of Finance Canada","COSSETTE COMMUNICATIONS INC.",6007490010,2009-06-05,"301 ADVERTISING SERVICES","2009-06-05 to 2010-03-31",,9656052.81,"This contract was awarded by Public Works and Government Services Canada. This contract was competitively sourced. This contract includes one or more amendments."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6007480411&q=4&yr=2009,"Department of Finance Canada","HAVER ANALYTICS",6007480411,2009-06-09,"812 COMPUTER SERVICES","2009-06-09 to 2011-03-31",,112118.32,"This contract was awarded by Public Works and Government Services Canada. This contract was sole-sourced. This contract includes one or more amendments. This contract is a multi-year contract."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000004&q=4&yr=2009,"Department of Finance Canada","BARBARA PERSONNEL INC.",4000004,2009-06-29,"813 TEMPORARY HELP SERVICES","2009-06-29 to 2010-04-30",,51510.38,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract includes one or more amendments. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000009&q=4&yr=2009,"Department of Finance Canada",MANPOWER,4000009,2009-07-14,"813 TEMPORARY HELP SERVICES","2009-07-14 to 2010-04-30",,44526.28,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract includes one or more amendments. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000008&q=4&yr=2009,"Department of Finance Canada","ARTEMP PERSONNEL SERVICES INC.",4000008,2009-07-14,"813 TEMPORARY HELP SERVICES","2009-07-14 to 2010-06-15",,77726.25,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract includes one or more amendments. This contract was competitively sourced."
